"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","CTV","generator","SOV","crane","HVDC","Senvion","measurement","float","cable","Council","van_oord","Wales","conference","bird","substation","tender","blade","GL","China","Damen","Taiwan","BOEM","wave","Scotland","France","belgian","MHI","2030","training","survey"
"2","CWind","gearbox","gangway","pile","TenneT","triton_knoll","mast","Statoil","lay","Port","walney_extension","RWE","london_array","simulation","Galloper","Borssele","Denmark","DNV","_","Sea","Fred","New","device","Beatrice","EUR","•","Vestas","GW","course","Orsted"
"3","boat","GE","Ulstein","jack","ABB","Borkum","lidar","Hywind","export_cable","Narec","Van_Oord","Grimsby","session","Maine","Dudgeon","Ofgem","inspection","certification","India","Merkur","Olsen_Windcarrier","Massachusetts","Ireland","Moray","Areva","Belgium","V164","cent","student","Hornsea_Project_One"
"4","*","bearing","accommodation","barge","interconnector","Trianel","buoy","mooring","inter","consultation","Aeolus","Humber","OMM","®","E.ON","OFTO","Gamesa","EU","]","A2SEA","Olsen","lease","tidal","ORE_Catapult","Adwen","?","Jan","$","career","AUV"
"5","GMS(L","radar","walk","jacket","DC","Sandbank","LiDAR","tow","Nexans","consent","Eneco","Gwynt_y_Mor","Sands","specie","Rampion","bid","repair","guideline","2025","FCS","Changhua","DOE","marine_energy","Firth","EDF","SPR","De","revenue","Skills","ROV"
"6","catamaran","temperature","DP","monopile","converter","DanTysk","ZephIR","WindFloat","burial","appeal","Gemini","helicopter","speaker","noise","topside","MPI","Kriegers_Flak","document","[","EMO","taiwanese","Deepwater","EMEC","SSE","Iberdrola","C","Nul","Japan","Safety","Fugro"
"7","passenger","cold","propulsion","leg","converter_station","nordsee_one","meteorological","floating_wind_turbine","JDR","Blyth","BSH","Nordsee","kite","fish","EnBW","round","nacelle","OPT","Tekmar","terminal","Formosa","Atlantic","tidal_energy","Carnegie","de","East_Anglia_ONE","EOWDC","scenario","education","geotechnical"
"8","workboat","drivetrain","Esvagt","weigh","AC","Global_Tech","validation","concrete","trench","Atlas","Norther","Ost","SHI","habitat","Forewind","zone","rotor_blade","JIP","Brazil","Hull","carbon_trust","York","Orkney","CETO","Saint","Elia","suction_bucket","Korea","young","UXO"
"9","Dalby","°","cargo","t","kv","GmbH","Fraunhofer","Ideol","VBMS","Bay","B.V.","Centrica","presentation","software","GIB","netherlandsse_kust","Anholt","Certification","outlook","Blue","Umoe","New_Jersey","ETI","Nova_Scotia","Wikinger","Rentel","ECN","coal","Maersk","geophysical"
"10","Iceni","seal","sov","lifting","interconnection","Vattenfall","IWES","Scira","submarine_cable","Court","Baltic","VSMC","Gunfleet","image","Arkona","bidder","turbine_blade","EC","GWEC","ABP","OWA","Maryland","ocean_energy","tidal","DCNS","DEME","8.0","net","College","investigation"
"11","Seacat","failure","heave","ton","Link","alpha","Lidar","Portugal","bury","AMSC","LR","SeaRoc","score","population","VOS","auction","tower","EWEA","Guangdong","pontoon","NOK","Virginia","Pelamis","84","Nazaire","Zeebrugge","Vattenfall","profit","Academy","race_bank"
"12","Boats","pitch","compensate","Seajacks","Norway","Norfolk","campaign","Fukushima","trenching","District","Svanen","HSE","teacher","camera","SHL","CfD","kriegers_flak","MHK","2001","HST","Co.","block_island","energy_converter","Atlantis","equity","MOG","borkum_riffgrund","japanese","qualification","1.2gw"
"13","knot","communication","stern","diameter","transformer","HelWin","turbulence","floater","termination","council","Guernsey","Amrumbank","workshop","wildlife","Bladt","regime","drone","PowerBuoy","province","66","Singapore","Governor","test_site","Tidal","EDP","42","8mw","TWh","GWO","gode_wind"
"14","seacat_service","™","person","hammer","TSO","Vanguard","wake","demonstrator","subsea_cable","tidal_lagoon","Northland","Kongsberg","School","collision","Strashnov","subsidy","coating","GL_Garrad_Hassan","LCOE","Port","MoU","OCS","WEC","FORCE","transaction","NV","SgurrEnergy","energy_efficiency","apprenticeship","174"
"15","BMT","cool","thruster","SeaPlanner","NSW","beta","metocean","anchor","NKT","Lagoon","park","Helgoland","greater_gabbard","mammal","Oleg","licence","LM_Wind_Power","Assessment","PV","Eemshaven","bold_tern","Cape","tidal_stream","CIP","Spain","102","8.0mw","USAD","worker","Race_Bank"
"16","Workboats","torque","x","Heerema","switchgear","substation","REpower","Principle_Power","SOC","Authority","Longyuan","Growth","Cumbria","marine_mammal","dogger_bank","700MW","Vesterhav","guidance","Ecofys","Installer","AS","rhode_island","Oyster","Fundy","Nouvelles","East_Anglia","450MW","FY","graduate","hornsea_project_one"
"17","hull","shaft","deck","lifting_capacity","cable","Yards","AXYS","Moventas","66kv","RSPB","wpd","npower","SAL","density","hohe_see","transmission_asset","factory","TÜV","Province","2610","universal_foundation","Carolina","Ocean","Caithness","5mw","Supergrid","SGS","IEA","school","sonar"
"18","engine","machine","Acta","driving","offshore_platform","SPC","Lake","GICON","DeepOcean","County","Shanghai","scheme","London_Array","porpoise","Vroon","Transmission","rotor","Report","=","Rix","BorWin3","Long","Oregon","Canada","Le","Ostend","SeaZip","bill","rescue","cable_route"
"19","comfort","OTEC","motion_compensation","Jack_Up_Vessel","grid_connection","Nordic","laser","Sheringham_Shoal","cable_laying_vessel","planning_inspectorate","Luchterduinen","LEP","OrbisEnergy","UMaine","innogy","2023","scour","rule","email","Emden","Brave_Tern","Block_Island","Cornwall","scotland_enterprise","Sweden","watch","Aberdeen","fiscal","safety_training","SEA"
"20","Seawork","ring","diesel","suction","Statnett","EWE","Met","Norway","Subsea","National_grid","Holding","drilling","attend","Ventus","Stanislav_Yudin","deadline","inspect","RES","split","Shipyards","MOU","City","Wave","Islands","stake","Bank","V112","Switch","emergency","Yorkshire"
