"","V1","V2","V3","V4","V5","V6"
"1","crane","Scotland",";","DONG_Energy","training","cable"
"2","pile","China","2010","port","blade","TenneT"
"3","monopile","tidal_energy","survey","Port","student","ABB"
"4","jacket","wave_energy","2011","technician","software","subsea"
"5","barge","US","source","service_operation_vessel","course","HVDC"
"6","lift","marine_energy","Gamesa","crew_transfer_vessel","generator","grid_connection"
"7","installation_vessel","EU","Wales","operation_and_maintenance","inspection","Siemens"
"8","deck","Japan","buoy","Siemens","DNV_GL","substation"
"9","van_oord","Massachusetts","Fugro","CWind","sensor","export_cable"
"10","topside","device","lidar","boat","ORE_Catapult","EUR"
"11","transition_piece","Ireland","Statoil","helicopter","certification","interconnector"
"12","jackup","bird","Maine","Taiwan","®","transformer"
"13","offshore_substation","France","geotechnical","fleet","career","submarine_cable"
"14","Borkum","scottish","consultation","passenger","simulation","german"
"15","yard","Alstom","lease","Hull","Narec","subsea_cable"
"16","jacket_foundation","float","BOEM","Ørsted","gearbox","lay"
"17","ton","India","Virginia","charter","rotor","high_voltage"
"18","steel","tidal_turbine","consent","Grimsby","health","DC"
"19","GeoSea","EMEC","July","catamaran","rotor_blade","Nexans"
"20","dutch","ocean_energy","DOE","Vestas","temperature","route"
