"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","student","crane","device","China","Scotland","TenneT","Siemens","blade","training","cable"
"2","bird","port","wave_energy","Taiwan",";","ABB","DONG_Energy","measurement","course","subsea"
"3","BOEM","cargo","tidal_energy","Japan","2010","german","Ørsted","generator","fire","export_cable"
"4","U.S.","service_operation_vessel","marine_energy","revenue","Statoil","grid_connection","Esbjerg","software","worker","substation"
"5","Virginia","fleet","Alstom","GW","E.ON","HVDC","MHI_Vestas","buoy","health","topside"
"6","specie","accommodation","tidal_turbine","MW","Wales","tender","Vattenfall","sensor","helicopter","Narec"
"7","Carnegie","crew_transfer_vessel","EMEC","Maine","2011","interconnector","Vestas","gearbox","Maritime","jacket"
"8","fish","deck","Maryland","India","Statkraft","DC","Fred","lidar","technician","offshore_substation"
"9","conference","lift","ocean_energy","US","SSE","converter_station","Grimsby","®","Global_Wind_Organisation","Nexans"
"10","school","Damen","Ocean","forecast","Ofgem","interconnection","A2SEA","rotor","Safety","cable_installation"
"11","new_york","monopile","Ireland","float","scottish","Kriegers_Flak","Siemens_Gamesa","DNV_GL","rescue","JDR"
"12","Professor","van_oord","Orkney","EUR","consent","UXO","Hull","Gamesa","Training","ROV"
"13","School","charter","Bay","chinese","Limited","EUR","Tekmar","temperature","qualification","submarine_cable"
"14","marine_mammal","shipyard","survey","installed_capacity","RWE","energinet.dk","Siemens_Wind_Power","simulation","Services","lay"
"15","block_island","barge","Nova_Scotia","usd","Beatrice","Norway","danish","bearing","safety_training","trench"
"16","New_Jersey","jackup","Canada","cent","Scottish_Government","dutch","Burbo_Bank_Extension","rotor_blade","College","interarray_cable"
"17","rhode_island","hull","test_site","Market","Dudgeon","mainland","Humber","validation","inspection","Cable"
"18","presentation","boat","tide","€","source","danish","AS","met_mast","Service","burial"
"19","EOWDC","Port","tidal_power","net","Gwynt_y_Môr","Borssele","Walney","tower","incident","Prysmian"
"20","survey","t","marine_renewable_energy","source","GBP","Grid","mhi_vesta","fatigue","AMSC","VBMS"
