"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","bird","blade","port","cable","service_operation_vessel","wave_energy","Scotland","China","DONG_Energy","Siemens","training","U.S.","2010","monopile","Vestas","software","measurement","generator","TenneT","Gamesa"
"2","Ørsted","inspection","Port","subsea","Damen","device","Wales","GW","Fred","island","student","Massachusetts","Taiwan","crane","France","®","DNV_GL","float","ABB","Narec"
"3","Ofgem","rotor_blade","crew_transfer_vessel","survey","accommodation","EMEC","scottish","EU","Galloper","Statoil","course","Maine",";","pile","Alstom","GmbH","buoy","gearbox","HVDC","conference"
"4","Vattenfall","nacelle","boat","Nexans","helicopter","ocean_energy","tidal_energy","India","Beatrice","Japan","career","New_Jersey","2011","barge","danish","SeaPlanner","lidar","converter","grid_connection",";"
"5","noise","GE","fleet","cable_installation","gangway","Orkney","Professor","forecast","triton_knoll","Offshore_WIND_Staff","CWind","lease","source","jacket","Belgium","simulator","sensor","bearing","substation","Nova_Scotia"
"6","marine_mammal","tower","catamaran","Fugro","Ulstein","Global_Wind_Organisation","marine_energy","scenario","Statkraft","german","College","Maryland","quarter","van_oord","belgian","communication","temperature","battery","transformer","exhibition"
"7","EOWDC","repair","block_island","geotechnical","charter","safety_training","crown_estate","2025","A2SEA","dutch","school","US","transaction","jackup","tender","REpower","wind_speed","patent","DC","tidal_lagoon"
"8","specie","Tekmar","passenger","JDR","Esvagt","test_site","Scottish","coal","East_Anglia","DanTysk","education","BOEM","EUR","transition_piece","Danish","Maritime","certification","pump","converter_station","Blyth"
"9","radar","rotor","workboat","export_cable","fire","wave_power","Scottish_Government","installed_capacity","Dudgeon","delay","Carnegie","Virginia","revenue","installation_vessel","Iberdrola","realtime","met_mast","ice","interconnector","ETI"
"10","survey","coating","cargo","Cable","DP","Ireland","wake","Market","Gwynt_y_Môr","Sandbank","Hull","DOE","net","GeoSea","Wikinger","Offshore_WIND","validation","hybrid","AC","Canada"
"11","licence","drone","Seacat","trench","MV","Atlantis","WindFloat","auction","onshore_substation","Arkona","Training","—","profit","lift","french","Moventas","OWA","cool","cable","FORCE"
"12","OFTO","MHI_Vestas","crew_transfer_vessels","lay","winch","maersk_training","Fund","renewable_power","offshore_substation","japanese","graduate","new_york","OPT","jackup_vessel","Adwen","interface","°","plate","highvoltage","Forewind"
"13","population","LM_Wind_Power","seacat_service","burial","thruster","Pelamis","SSE","wind_power_market","london_array","E.ON","apprenticeship","habitat","acquisition","leg","Elia","Romax","carbon_trust","AMSC","energinet.dk","session"
"14","Limited","factory","comfort","UXO","Ampelmann","Wave_Energy","Strathclyde","LCOE","Rampion","Ministry","Skills","rhode_island","Walney","yard","DCNS","Monitoring","meteorological","anchor","kv","dogger_bank"
"15","Hornsea","vehicle","container","termination","walktowork","WEC","ORE_Catapult","Ireland","walney_extension","Amsterdam","Humber","Oregon","MW","Rotterdam","Baltic_Sea","score","mast","torque","voltage","Fundy"
"16","Hornsea_Project_One","Blade","Lowestoft","trenching","person","Cornwall","scottish_enterprise","cent","RWE","Fukushima","Academy","Governor","sheringham_shoal","monopile_foundation","EUR","Services","accuracy","shaft","interconnection","Bay"
"17","fish","Moog","crew_transfer","Subsea","deck","marine_energy","Welsh","hydrogen","Olsen_Windcarrier","Trianel","qualification","deepwater_wind","PowerBuoy","fabrication","bid","Control","metocean","floating_wind_turbine","alternating_current","chamber"
"18","Aberdeen","erosion","Vroon","route","crane","Wave_Hub","floating_wind","import","race_bank","stake","young_people","California","€","quay","MW","Meerwind","SgurrEnergy","tower","direct_current","…"
"19","GMS","robot","knot","VBMS","onboard","aquamarine_power","Texas","outlook","innogy","Hitachi","apprentice","Deepwater_Wind","division","ton","consortium","System","GL","power_plant","switchgear","November"
"20","bidder","wind_turbine_blades","craft","ROV","rescue","tidal_turbine","Islands","hydro","substation","Capital","RES","usd","Company","Seajacks","Zeebrugge","virtual","guideline","floating_platform","german","Northumberland"
