"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1","bird","van_oord","device","port","inspection","Taiwan","float",";","China","Siemens","Statoil","TenneT","DONG_Energy","helicopter","measurement","interconnector","barge","blade","crane","training","cable","software","ABB","Scotland"
"2","conference","CWind","wave_energy","E.ON","revenue","Canada","tidal_lagoon","2010","chinese","service_operation_vessel","Fugro","tender","Massachusetts","rescue","DNV_GL","Galloper","Fred","tower","cargo","course","submarine_cable","block_island","HVDC","Port"
"3","session","jacket","marine_energy","Alstom","survey","Nova_Scotia","Sea","2011","GE","JDR","lease","grid_connection","danish","radar","buoy","Norway","monopile","nacelle","accommodation","ORE_Catapult","Nexans","SeaPlanner","substation","Wales"
"4","specie","jacket_foundation","EMEC","terminal","ROV","tidal_energy","tow","student","generator","Tekmar","survey","Ofgem","Vestas","Lowestoft","lidar","Carnegie","jackup","rotor_blade","crew_transfer_vessel","Narec","Cable","ice","transformer","Hull"
"5","marine_mammal","Boskalis","Orkney","Senvion","EUR","Tidal","Iceni","source","operation_and_maintenance","Esvagt","geotechnical","dutch","New_Jersey","pontoon","Japan","Belgium","installation_vessel","bearing","fleet","Blyth","cable_installation","sensor","DC","scottish"
"6","presentation","66kv","ocean_energy","island","quarter","Bay","Cornwall","Gamesa","MW","Ampelmann","BOEM","german","MHI_Vestas","GMS","carbon_trust","India","transition_piece","rotor","boat","Global_Wind_Organisation","subsea","deepwater_wind","voltage","Humber"
"7","workshop","Walney","Ireland","Port","UXO","Ocean","floating_wind","Maine","direct_drive","DanTysk","Statkraft","Borssele","Maryland","aircraft","wind_speed","Elia","Beatrice","gearbox","deck","Training","lay","weather","triton_knoll","port"
"8","population","GeoSea","test_site","EOWDC","subsea","FORCE","Award","—","Switch","Kriegers_Flak","Virginia","OFTO","A2SEA","navigation","DOE","CETO","Olsen_Windcarrier","°","hull","Safety","trench","coating","onshore_substation","Aberdeen"
"9","habitat","substructure","tidal_energy","Esbjerg","profit","installed_capacity","Wave_Hub","school","Moog","Sandbank","investigation","bidder","Danish","emergency","validation","€","moray_firth","ECN","gangway","worker","export_cable","plate","national_grid","Grimsby"
"10","fish","topside","wave_power","Iberdrola","net","2025","GICON","education","SGS","DolWin","new_york","subsidy","usd","MV","met_mast","interconnection","Seajacks","weight","Damen","health","Prysmian","scenario","Gwynt_y_Môr","SSE"
"11","meeting","Sif","ETI","GmbH","rov","DCNS","AP","coal","certification","Meerwind","Dudgeon","zone","Isle","SeaZip","OWA","european_commission","leg","fatigue","catamaran","technician","burial","ocean_current","AC","Scottish"
"12","visitor","Gemini","machine","Eemshaven","Subsea","Atlantis","Steel","EU","offshore_wind_turbine","BorWin3","WindFloat","700MW","Burbo_Bank_Extension","communication","meteorological","energinet.dk","pile","extreme","knot","fire","subsea_cable","realtime","kv","apprenticeship"
"13","speaker","offshore_substation","battery","Nordsee","drone","Fundy","prize","School","Wind","Heerema","leasing","licence","DONG","flight","OPT","EU","heavy_lift","storm","engine","safety_training","trenching","rhode_island","switchgear","young_people"
"14","wildlife","grout","generator","Borkum","cent","Understanding","floating_foundation","July","center","Havyard","Norfolk","offshore_transmission","race_bank","SAL","wake","Statnett","crane","kite","Ulstein","qualification","submarine","detection","RWE","Scottish_Government"
"15","Forum","Vlissingen","Pelamis","Arkona","OMM","renewable_power","Falmouth","October","Offshore_WIND","HelWin","REpower","EIB","Point","score","mast","Australia","jack","motor","workboat","maersk_training","termination","segment","consultation","apprentice"
"16","Committee","Eneco","Wave_Energy","Rampion","sonar","Memorandum","ULSTEIN","lowcarbon","pm","service_operation","sheringham_shoal","Vattenfall","cape_wind","james_fisher","GL","belgian","Olsen","LM_Wind_Power","shipyard","career","route","vehicle","underground","GBP"
"17","map","Mermaid","WEC","DEME","clearance","MoU","Ideol","teacher","ABS","hangoff","request","Transmission","Ørsted","OrbisEnergy","turbulence","norwegian","MPI","pile","container","Health","power_cable","automate","AMSC","scheme"
"18","attend","VSMC","Moventas","Adwen","fiscal","taiwanese","anchor","UMaine","Beijing","Siemens_Wind_Power","geophysical","2023","Race_Bank","aviation","DTU","desalination","tp","drivetrain","charter","Northumberland","DeepOcean","forecasting","RWE_Innogy","Highlands"
"19","?","jan_de_nul","Romax","Wikinger","Survey","County","Nantes","May","warranty","Butendiek","north_norfolk","tender_round","DKK","lighting","LiDAR","loan","Huisman","diameter","walktowork","College","cable_laying","converter","landfall","Centrica"
"20","Atlas","suction_bucket","converter","EMO","income","MeyGen","turbine_transfer","Brazil","Global","Petrofac","Hywind","grid_operator","mhi_vesta","Shipping","certification","Project","universal_foundation","chamber","thruster","Catapult","connector","fault","Forewind","RES"
