"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1","Siemens","boat","Scotland","E.ON","inspection","pile","training","float","China","device","port","DONG_Energy","Massachusetts","tender","lidar",";","Taiwan","survey","blade","crane","GmbH","TenneT","cable","buoy","Ireland"
"2","MW","crew_transfer_vessel","crown_estate","substation","ORE_Catapult","monopile","student","Gamesa","Maine","tidal_energy","Port","Statoil","lease","danish","measurement","2010","CWind","bird","generator","Damen","german","ABB","export_cable","DNV_GL","Narec"
"3","EUR","catamaran","Professor","East_Anglia","repair","jacket","course","Japan","GW","wave_energy","Esbjerg","Statkraft","BOEM","Vestas","campaign","2011","helicopter","Fugro","tower","accommodation","Borkum","HVDC","lay","certification","Wales"
"4","Tekmar","Gwynt_y_Môr","scottish","Lowestoft","ROV","van_oord","career","France","India","marine_energy","Fred","Ofgem","EU","Vattenfall","met_mast","source","exhibition","geotechnical","gearbox","cargo","island","transformer","cable_installation","sensor","Humber"
"5","transaction","workboat","Scottish_Government","Arkona","radar","transition_piece","College","Maryland","US","tidal_turbine","terminal","london_array","Virginia","dutch","validation","revenue","Ørsted","specie","rotor_blade","deck","Senvion","DC","subsea","software","Carnegie"
"6","direct_drive","Seawork","Scottish","Seajacks","subsea","jacket_foundation","education","Alstom","U.S.","EMEC","quay","Dudgeon","Commission","Danish","mast","quarter","SeaPlanner","UXO","rotor","service_operation_vessel","German_North_Sea","converter_station","JDR","temperature","Blyth"
"7","power_plant","BMT","Strathclyde","Suffolk","Esvagt","GeoSea","Global_Wind_Organisation","floating_wind","DOE","ocean_energy","harbour","DONG","bill","bid","wake","cent","visitor","investigation","bearing","t","Nordsee","grid_connection","Nexans","°","ETI"
"8","REpower","windfarm","scottish_enterprise","east_anglia","drone","Beatrice","worker","block_island","installed_capacity","Orkney","Olsen_Windcarrier","Limited","New_Jersey","Borssele","ECN","net","health","fish","nacelle","lift","Emden","kv","Cable","certify","CETO"
"9","Siemens_Wind_Power","Austal","GBP","Technip","autonomous","hammer","school","rhode_island","forecast","Nova_Scotia","Siemens_Gamesa","Burbo_Bank_Extension","cape_wind","EUR","methodology","profit","rescue","habitat","weight","gangway","Helgoland","highvoltage","trench","GL","Project"
"10","Minesto","south_boat","hydrogen","consultation","3d","Vlissingen","Training","french","Market","marine_renewable_energy","DanTysk","Forewind","fishing","subsidy","Seacat","division","operation_and_maintenance","marine_mammal","drivetrain","Ulstein","alpha_ventus","voltage","burial","cold","Welsh"
"11","factory","SWATH","sme","MaXccess","Services","DEME","qualification","new_york","scenario","Canada","storage","Walney","meeting","Ministry","seacat_service","August","taiwanese","EOWDC","GE","jackup","nordsee_ost","AC","section","LiDAR","LCOE"
"12","grid_operator","crew_transfer","Aberdeen","situate","inspect","belgian","graduate","WindFloat","—","Tidal","Harbour","tidal_lagoon","legislation","DKK","simulation","July","medical","geophysical","patent","walktowork","EMO","interconnector","energinet.dk","ice","Northumberland"
"13","Hull","Maritime","lowcarbon","ABP","GMS","topside","Skills","OPT","Brazil","tidal_power","preassembly","walney_extension","request","deadline","SgurrEnergy","October","HSE","wildlife","plate","charter","Meerwind","interconnection","submarine_cable","FLiDAR","Western"
"14","converter","Naval","winner","poll","satellite","Seaway_Heavy_Lifting","apprenticeship","japanese","wind_power_market","wave_power","quayside","race_bank","Offshore_WIND","700MW","ZephIR","Atlas","bolt","Vattenfall","coating","dynamic_positioning","Rostock","Grid","interarray_cable","measurement","EDF_Energy"
"15","Goldwind","comfort","Glasgow","HOCHTIEF","Subsea","fabrication","young_people","floating_wind_turbine","analyze","FORCE","berth","OFTO","fisherman","II","Isle","02","MHI_Vestas","noise","steel","fleet","EnBW","direct_current","route","weather","€"
"16","permanent_magnet","Umoe","energy_storage","East","Switch","Sif","safety_training","deepwater_wind","usd","tidal_stream","Bibby","dogger_bank","New_Bedford","auction","Moventas","NOK","incident","population","torque","hull","Trianel","alternating_current","bury","extreme","EDS"
"17","6_mw","turbine_transfer","Brown","triton_knoll","System","scour_protection","Academy","floating_foundation","market_share","test_site","Ports","westermost_rough","Commonwealth","concession","Wight","September","conference","soil","shaft","shipyard","deutsche_bucht","Elia","termination","c","Australia"
"18","Deep_Green","aluminium","Fund","Ramboll","Havyard","Aeolus","apprentice","Deepwater_Wind","renewable_power","Atlantis","Galloper","innogy","Act","China","turbulence","GL_Garrad_Hassan","IRENA","Survey","motor","Ampelmann","Eemshaven","switchgear","trenching","detection","split"
"19","Stiesdal","mine","London","Harwich","SeaZip","Dalby","college","PowerBuoy","SGS","Fundy","arrive","Hornsea_Project_One","OCS","Kriegers_Flak","DTU","EBITDA","emergency","sediment","cool","lifting_capacity","HelWin","power_grid","VBMS","Romax","irish"
"20","Ricardo","fleet","DECC","humber_gateway","software","Van_Oord","maersk_training","floater","NREL","Highlands","universal_foundation","A2SEA","member_state","Baltic_Sea","carbon_trust","05","warranty","scour","kite","lifting","GICON","cable","subsea_cable","meteorological","desalination"
