Source,Weight,Target,Type
’,174,ROV,Undirected
ability,121,ROV,Undirected
access,210,ROV,Undirected
activity,144,ROV,Undirected
addition,178,ROV,Undirected
agreement,112,ROV,Undirected
analysis,202,ROV,Undirected
application,155,ROV,Undirected
approach,97,ROV,Undirected
approval,312,ROV,Undirected
area,298,ROV,Undirected
assessment,111,ROV,Undirected
asset,108,ROV,Undirected
base,93,ROV,Undirected
benefit,139,ROV,Undirected
blade,99,ROV,Undirected
business,220,ROV,Undirected
cable,374,ROV,Undirected
capability,193,ROV,Undirected
capacity,216,ROV,Undirected
challenge,106,ROV,Undirected
China,97,ROV,Undirected
client,132,ROV,Undirected
coast,104,ROV,Undirected
company,731,ROV,Undirected
component,150,ROV,Undirected
concept,105,ROV,Undirected
condition,169,ROV,Undirected
connection,106,ROV,Undirected
construction,326,ROV,Undirected
contract,272,ROV,Undirected
control,113,ROV,Undirected
cost,383,ROV,Undirected
country,145,ROV,Undirected
course,106,ROV,Undirected
customer,166,ROV,Undirected
datum,395,ROV,Undirected
deployment,114,ROV,Undirected
design,507,ROV,Undirected
developer,229,ROV,Undirected
development,629,ROV,Undirected
device,107,ROV,Undirected
efficiency,178,ROV,Undirected
electricity,185,ROV,Undirected
energy,511,ROV,Undirected
Energy,166,ROV,Undirected
engineering,243,ROV,Undirected
environment,164,ROV,Undirected
equipment,238,ROV,Undirected
Europe,128,ROV,Undirected
experience,227,ROV,Undirected
expertise,187,ROV,Undirected
facility,254,ROV,Undirected
field,104,ROV,Undirected
foundation,209,ROV,Undirected
funding,132,ROV,Undirected
future,102,ROV,Undirected
gas,134,ROV,Undirected
generation,118,ROV,Undirected
government,100,ROV,Undirected
grid,166,ROV,Undirected
Group,113,ROV,Undirected
growth,124,ROV,Undirected
impact,102,ROV,Undirected
improvement,311,ROV,Undirected
industry,638,ROV,Undirected
information,234,ROV,Undirected
infrastructure,121,ROV,Undirected
innovation,113,ROV,Undirected
inspection,117,ROV,Undirected
installation,463,ROV,Undirected
investment,204,ROV,Undirected
issue,98,ROV,Undirected
job,121,ROV,Undirected
knowledge,132,ROV,Undirected
level,132,ROV,Undirected
location,125,ROV,Undirected
m,104,ROV,Undirected
maintenance,292,ROV,Undirected
management,159,ROV,Undirected
managing_director,96,ROV,Undirected
Marine,125,ROV,Undirected
market,607,ROV,Undirected
measurement,125,ROV,Undirected
model,141,ROV,Undirected
monitoring,119,ROV,Undirected
need,159,ROV,Undirected
number,143,ROV,Undirected
Offshore,139,ROV,Undirected
