"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1","MHI","float","SOV","blade","Orsted","cable","wave","New","crane","Vattenfall","ORE_Catapult","inspection","_","survey","Ireland","measurement","TenneT","training"
"2","Vestas","Jan","Damen","GL","Denmark","lay","device","BOEM","monopile","Galloper","tidal","AUV","CWind","consent","EU","lidar","Taiwan","course"
"3","France","De","cargo","DNV","Hornsea_Project_One","export_cable","software","Massachusetts","Port","Great","Borssele","ROV","•","consultation","Dudgeon","Beatrice","HVDC","student"
"4","V164","Nul","accommodation","Gamesa","substation","inter","EMEC","DOE","jack","Yarmouth","Narec","®","$","geotechnical","Ofgem","mast","ABB","career"
"5","EDF","China","charter","nacelle","A2SEA","interconnector","Orkney","lease","Fred","MPI","Canada","vehicle","Carnegie","Wales","OFTO","pile","converter","young"
"6","*","Norway","CTV","certification","borkum_riffgrund","submarine_cable","tidal","York","barge","SPR","netherlandsse_kust","radar","CETO","Scotland","Statkraft","buoy","transformer","Safety"
"7","Eneco","Hywind","gangway","Adwen","EUR","Nexans","marine_energy","Deepwater","GeoSea","Suffolk","Nova_Scotia","corrosion","Dalby","geophysical","round","noise","GmbH","fire"
"8","8.0","GW","passenger","Areva","Baltic","submarine","OPT","Atlantic","DEME","Lowestoft","tidal_energy","°","Iceni","investigation","GBP","OWA","China","Skills"
"9","Saint","storage","Ulstein","rotor","Kriegers_Flak","burial","Pelamis","Maine","jacket","UXO","tidal_turbine","drone","GMS(L","triton_knoll","regime","carbon_trust","DC","education"
"10","WindFloat","2030","boat","gearbox","race_bank","JDR","Scotland","USAD","Merkur","East_Anglia_ONE","Atlantis","coating","Australia","crown_estate","cent","EOWDC","Borkum","Centre"
"11","van_oord","scenario","walk","rotor_blade","Anholt","VBMS","SeaPlanner","New_Jersey","Jack_Up_Vessel","Wikinger","ORE","cold","South","Moray","auction","LiDAR","Nordsee","conference"
"12","Burbo_Bank_Extension","2025","helicopter","GE","Bladt","Prysmian","test_site","bird","Olsen_Windcarrier","Iberdrola","FORCE","temperature","AMSC","cable_route","bidder","ZephIR","Trianel","attend"
"13","Gwynt_y_Mor","Korea","hull","generator","Yorkshire","trench","WEC","Maryland","leg","innogy","Fundy","sensor","Reef","EIA","Statoil","meteorological","converter_station","school"
"14","Norther","LCOE","deck","factory","Arkona","subsea_cable","communication","Virginia","yard","Sandbank","tender","JFMS","CTruk","Norfolk","Fund","SHL","DolWin","worker"
"15","Bank","floating_wind_turbine","engine","turbine_blade","DKK","trenching","ETI","block_island","Seajacks","Vesterhav","sme","vertical","Alicat","Council","Transmission","campaign","Ost","Academy"
"16","Nazaire","JIP","knot","REpower","gode_wind","bury","energy_converter","Cape","Esvagt","E.ON","kite","repair","Boats","route","EC","84","OMM","graduate"
"17","Belgium","Market","propulsion","drivetrain","1.2gw","power_cable","Ocean","$","tp","Ports","700MW","3d","LR","Firth","sheringham_shoal","Lidar","grid_connection","GWO"
"18","Burbo","IEA","DP","Japan","kriegers_flak","SOC","Oyster","Governor","Seacat","Workboats","zone","Kongsberg","Wave_Energy","Zone","Scotland","turbulence","BorWin","presentation"
"19","EDP","Japan","catamaran","LM_Wind_Power","S","Link","tracking","Center","t","102","Catapult","c","Court","Fugro","EIB","Boskalis","NSW","College"
"20","Belwind","hydrogen","FCS","japanese","SPC","termination","autonomous","OCS","arrive","East_Anglia","IV","hydraulic","builder","appeal","Scira","wake","Changhua","apprenticeship"
