"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1","training","France","buoy","DOE","GL","Orsted","cable","Port","float","GmbH","bird","jacket","Galloper","survey","tidal","HVDC","blade","crane","lease","China","pile","CTV","Denmark","Taiwan"
"2","_","De","measurement","noise","DNV","Hornsea_Project_One","lay","Fred","Hywind","Nordsee","consent","monopile","E.ON","ROV","wave","ABB","Vestas","CWind","BOEM","Gamesa","®","SOV","EUR","Narec"
"3","course","Nul","lidar","Maine","Borssele","EOWDC","export_cable","GeoSea","GMS(L","]","•","jacket_foundation","london_array","AUV","tidal_energy","TenneT","rotor","barge","Scotland","$","temperature","Damen","Vattenfall","Blyth"
"4","student","Jan","mast","Center","A2SEA","Gwynt_y_Mor","inter","DEME","Elia","Ost","EIA","MHI","Rampion","inspection","marine_energy","converter","rotor_blade","jack","Massachusetts","GW","bearing","gangway","Baltic","EDF"
"5","career","Ofgem","wave","NREL","Orsted","Wales","Nexans","Merkur","mooring","Sandbank","EU","Areva","Pacific","Fugro","device","interconnector","GE","t","New","revenue","software","passenger","Kriegers_Flak","2025"
"6","conference","OFTO","LiDAR","—","tender","triton_knoll","burial","JDR","Statoil","[","CfD","Adwen","West","geotechnical","EMEC","Beatrice","gearbox","deck","Deepwater","India","sensor","boat","Ireland","SeaPlanner"
"7","young","Japan","Carnegie","MHK","netherlandsse_kust","RWE","*","nacelle","storage","Emden","specie","walney_extension","Yarmouth","geophysical","Scotland","DC","turbine_blade","leg","York","2030","™","walk","Dudgeon","Changhua"
"8","Skills","float","CETO","Oregon","Sea","Grimsby","submarine_cable","Olsen_Windcarrier","MOG","DanTysk","auction","SHL","Great","UXO","Tidal","converter_station","generator","lifting","Atlantic","Nova_Scotia","°","charter","Trianel","taiwanese"
"9","exhibition","de","ZephIR","ring","JIP","Yorkshire","trench","tower","Cornwall","nordsee_one","Forewind","substation","MPI","investigation","tidal_turbine","transformer","factory","lifting_capacity","New_Jersey","net","coating","accommodation","Statkraft","Anholt"
"10","College","Saint","meteorological","Isle","race_bank","1.2gw","trenching","terminal","carbon_trust","BARD","Norfolk","van_oord","Bibby","radar","Orkney","submarine","drivetrain","boom","Cape","scenario","cold","catamaran","Sweden","certification"
"11","school","WindFloat","device","UMaine","zone","Aberdeen","VBMS","Seajacks","pontoon","Meerwind","crown_estate","topside","GIB","drone","Tekmar","interconnection","LM_Wind_Power","Voith","Maryland","cent","OMM","cargo","kriegers_flak","Northumberland"
"12","session","EIB","battery","Ocean","gode_wind","SPR","SOC","Olsen","Mermaid","Senvion","fish","borkum_riffgrund","Heerema","vehicle","OPT","AC","SgurrEnergy","ton","block_island","Market","seal","hull","Statoil","Formosa"
"13","education","regime","Lidar","porpoise","2023","Lincolnshire","termination","Iceni","Wave_Hub","Atlas","habitat","Wikinger","alpha","helicopter","ocean_energy","Alstom","rotor_diameter","Huisman","Virginia","Korea","corrosion","craft","REpower","Singapore"
"14","attend","japanese","campaign","Ventus","Certification","GBP","NKT","Eemshaven","OWA","medical","Gunfleet","tp","beta","diving","generator","Link","IWES","upgrade","Governor","Brazil","ice","engine","DEA","LR"
"15","graduate","bidder","validation","Laboratory","OTEC","substation","bury","66","IRENA","KG","Vanguard","Iberdrola","Orca","flight","Pelamis","kv","isle_of_wight","DP","OCS","profit","hammer","Ulstein","Vesterhav","SeaRoc"
"16","GWO","Nazaire","WEC","center","700MW","East_Anglia_ONE","66kv","Terminal","anchor","Vineyard_Wind","MMO","Seacat","Amrumbank","image","Atlantis","Norway","axis","davit","rhode_island","FORCE","accuracy","knot","AREVA","TÜV"
"17","Centre","loan","kite","Office","Esvagt","174","power_cable","quay","modular","wpd","consultation","Arkona","HelWin","sonar","tidal_stream","84","MHI","Liebherr","Plan","AMSC","plate","workboat","Scira","Nouvelles"
"18","Hull","EDP","AXYS","Falmouth","Hansen","hornsea_project_one","DeepOcean","6mw","MRE","Helgoland","SSE","Bladt","116","inspect","tide","Moray","V164","mode","Long","Fundy","inside","FCS","Horns_Rev","HSE"
"19","apprenticeship","Ideol","SGS","Washington","IV","National_grid","subsea_cable","SHI","concrete","RFP","round","seacat_service","duddon_sand","camera","Oyster","TSO","Fraunhofer","meter","leasing","TWh","c","Dalby","sheringham_shoal","LCOE"
"20","worker","tender","Umoe","NOAA","Zuid","consultation","cable_laying_vessel","Veja_Mate","tug","vineyard_wind","population","Strashnov","Rhenus","object","PowerBuoy","switchgear","pitch","deck_space","Island","DCNS","chamber","sov","horns_rev","ADEME"
