"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","crane","buoy","USA","report","foundation","Beatrice","datum","Statoil","Denmark","EIA","generator","Wind","oil","CWind","cable","port","cable","vessel","Orsted","transmission","training","energy","Scotland","blade","EUR","student","GL","wave","China","foundation"
"2","installation","Fugro","New","cost","jacket","Moray","software","Fred","Vattenfall","consultation","gearbox","Farm","solution","Marine","ROV","Port","TenneT","ship","Germany","grid","course","electricity","UK","turbine","%","event","DNV","device","market","structure"
"3","barge","datum","state","scenario","topside","OFTO","system","SOV","Hornsea_Project_One","bird","bearing","Deepwater","product","Dalby","AUV","base","connection","transfer","RWE","ABB","safety","power","Wales","Vestas","Taiwan","conference","certification","EMEC","Japan","design"
"4","lift","mast","BOEM","industry","jacket_foundation","walney_extension","monitoring","Dudgeon","farm","area","system","block_island","gas","craft","subsea","facility","voltage","cargo","farm","HVDC","skill","country","Government","test","auction","University","Areva","tidal_energy","France","seabed"
"5","jack","OPT","Massachusetts","cost_reduction","De","EOWDC","measurement","A2SEA","Kriegers_Flak","impact","drive","EDF","company","Iceni","survey","O&M","grid","Damen","Energy","network","Maersk","carbon","sector","rotor_blade","quarter","Engineering","Adwen","technology","Gamesa","noise"
"6","vessel","lidar","DOE","policy","substation","Boskalis","tool","Ulstein","Orsted","survey","converter","farm","market","Seacat","Subsea","Hull","platform","crew","Gwynt_y_Mor","power","Safety","EU","opportunity","prototype","CfD","industry","risk","marine_energy","India","soil"
"7","monopile","Lake","York","study","Jan","Rampion","sensor","MPI","tender","specie","SGRE","Offshore","customer","Boats","trenching","Grimsby","submarine","passenger","EnBW","voltage","health","energy_source","Minister","testing","investment","session","process","Orkney","Asia","investigation"
"8","leg","LiDAR","New_Jersey","target","Nul","VBMS","control","Statkraft","triton_knoll","consent","component","Bay","service","seacat_service","Tekmar","building","Prysmian","hull","OWF","link","helicopter","climate","job","rotor","stake","Research","guideline","Carnegie","share","pile"
"9","tonne","satellite","Center","LCOE","farm","CIP","data","Olsen_Windcarrier","Baltic","planning","turbine","turbine","OWA","Workboats","vessel","terminal","JDR","boat","Nordsee","AC","worker","%","ORE_Catapult","nacelle","subsidy","school","IWES","CETO","growth","method"
"10","transport","AXYS","Atlantic","market","installation","km","simulation","vessel","Anholt","proposal","power","Island","business","South","work","Humber","submarine_cable","container","Ost","connection","fire","coal","investment","Nova_Scotia","year","Conference","JIP","scale","power","steel"
"11","Seajacks","PowerBuoy","Maryland","investor","Merkur","Limited","ZephIR","Hywind","DEA","study","coating","construction","industry","vessel","SOC","office","Nexans","accommodation","GmbH","line","standard","consumption","funding","tower","price","Professor","Certification","ocean","country","gravity"
"12","lifting","Atlas","Maine","technology","SHL","export_cable","radar","Esvagt","substation","fish","motor","Block_Island","expertise","CTruk","burial","Forewind","Netherlands","knot","E.ON","DC","technician","cent","Ireland","MW","revenue","university","design","tidal_turbine","forecast","suction"
"13","Van_Oord","ice","Virginia","UK","suction_bucket","Firth","communication","Olsen","DanTysk","habitat","reliability","coast","technology","Alicat","DeepOcean","Yarmouth","Germany","gangway","Burbo_Bank_Extension","converter","GWO","emission","development","V164","profit","Academy","standard","ocean_energy","Ideol","fatigue"
"14","t","Court","Department","supply_chain","Wikinger","NKT","user","charter","Vesterhav","wildlife","Nordic","Power","Group","Director","VOS","Lowestoft","km","propulsion","Offshore","interconnector","apprenticeship","renewable","supply_chain","turbine_blade","capacity","presentation","Fraunhofer","energy","Korea","driving"
"15","lifting_capacity","BPU","lease","analysis","Belgium","Ofgem","model","sov","Horns_Rev","fishing","production","SHI","®","Managing","cable_protection","Great","Alpha","CTV","service","Alstom","rescue","percent","industry","rotor_diameter","bid","member","requirement","Pelamis","segment","hammer"
"16","metre","ECN","Governor","risk","Heerema","SSE","Lidar","technician","Arkona","population","torque","phase","CEO","m","Ampelmann","hub","North_Sea","deck","OMM","system","emergency","generation","GBP","MHI","tender","career","certificate","grant","Brazil","seal"
"17","m","survey","Cape","potential","DEME","farm","turbulence","Norway","horns_rev","marine_mammal","HelWin","mile","AMSC","Wave_Hub","vehicle","Ports","kv","FCS","Sands","interconnection","apprentice","fossil_fuel","renewables_industry","Narec","Changhua","knowledge","participant","WEC","capacity","condition"
"18","Aeolus","Sinovel","OCS","term","Bladt","cable","performance","Sea","SPC","corridor","product","rhode_island","portfolio","Southampton","operation","ABP","DolWin","personnel","AG","technology","safety_training","source","economy","FORCE","MOEA","workshop","issue","energy_converter","Fukushima","water"
"19","tp","WindSentinel","energy","uncertainty","Strashnov","Aberdeen","inspection","Scira","Sandbank","collision","Yards","site","patent","Seawork","Acta","harbour","TSO","Bibby","BARD","OTEC","Newcastle","storage","business","Atlantis","fund","School","Ecofys","funding","Europe","sand"
"20","Jack_Up_Vessel","LEEDCo","Carolina","driver","Oleg","bidder","analysis","ESVAGT","Borssele","effect","test","p.m.","sector","MRE","carousel","SPR","cable_system","fuel","West","VSC","incident","security","Energy","LM_Wind_Power","government","speaker","practice","deployment","Hitachi","installation"
