"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1","crane","survey","DONG_Energy","measurement","Scotland","Massachusetts","revenue","crew_transfer_vessel","Statoil","float","cable","port","cable","generator","training",";","helicopter","blade"
"2","service_operation_vessel","bird","jacket","buoy","device","DNV_GL","GW","CWind","Wales","Vestas","TenneT","Port","van_oord","gearbox","student","2010","BOEM","Siemens"
"3","lift","Vattenfall","jacket_foundation","inspection","wave_energy","Maine","EUR","fleet","Statkraft","China","ABB","Taiwan","JDR","pile","course","2011","communication","tower"
"4","accommodation","Kriegers_Flak","GeoSea","sensor","marine_energy","Alstom","cent","ROV","EU","Japan","HVDC","lease","GmbH","bearing","career","source","SeaPlanner","nacelle"
"5","gangway","specie","belgian","software","tidal_energy","Canada","Ofgem","subsea","consultation","Gamesa","substation","Ireland","Fred","hydraulic","College","July","storage","rotor_blade"
"6","jackup","UXO","A2SEA","ORE_Catapult","scottish","block_island","€","geotechnical","RWE","France","grid_connection","Virginia","cable_installation","steel","Hull","October","emergency","Narec"
"7","t","fish","topside","lidar","EMEC","Nova_Scotia","forecast","catamaran","Gwynt_y_Môr","New_Jersey","interconnector","DOE","interarray_cable","monopile","education","AMSC","radar","GE"
"8","Ulstein","marine_mammal","offshore_substation","carbon_trust","ocean_energy","—","quarter","boat","bid","chinese","DC","new_york","VBMS","°","school","Voith","incident","rotor"
"9","cargo","habitat","walney_extension","met_mast","Orkney","U.S.","Market","Tekmar","consent","floating_wind","transformer","Maryland","export_cable","diameter","Humber","August","battery","Adwen"
"10","DP","population","fully_operational","™","Scottish","rhode_island","transaction","workboat","EOWDC","MW","converter_station","terminal","Cable","Seacat","Global_Wind_Organisation","Texas","rescue","Isle"
"11","dynamic_positioning","wildlife","fully_commissione","validation","wave_power","US","coal","passenger","Forewind","Carnegie","highvoltage","OPT","lay","coating","Training","June","hydrogen","ETI"
"12","thruster","danish","Galloper","realtime","Scottish_Government","certification","profit","Fugro","auction","french","Nexans","Oregon","Borkum","seacat_service","Centre","BMT","medical","operation_and_maintenance"
"13","deck","kite","transition_piece","turbulence","marine_renewable_energy","Bay","installed_capacity","Subsea","tidal_lagoon","Project","AC","leasing","termination","®","worker","May","SGS","factory"
"14","barge","Atlas","Beatrice","accuracy","tidal_stream","DCNS","WindFloat","Esvagt","tender","japanese","kv","quay","Nordsee","extreme","apprenticeship","…","HSE","Siemens_Gamesa"
"15","lifting","porpoise","Burbo_Bank_Extension","OWA","scottish_enterprise","deepwater_wind","acquisition","diving","ECN","CETO","submarine_cable","Authority","Olsen_Windcarrier","hammer","graduate","Austal","store","MHI_Vestas"
"16","lifting_capacity","Minesto","Wikinger","wind_speed","Edinburgh","FORCE","net","knot","Dudgeon","floater","Prysmian","California","Boskalis","seal","fire","Sinovel","scenario","LM_Wind_Power"
"17","leg","investigation","Belgium","meteorological","Highlands","Deepwater_Wind","OFTO","crew_transfer","dogger_bank","Switch","voltage","Understanding","OMM","plate","qualification","04","fly","concrete"
"18","shipyard","map","Elia","wake","Pelamis","Fundy","Brazil","DeepOcean","round","demonstration_project","german","Memorandum","Helgoland","drivetrain","School","OTEC","flight","Blade"
"19","winch","bat","DEME","drone","Wave_Energy","Ocean","segment","vehicle","crown_estate","Fukushima","route","PowerBuoy","Rampion","temperature","young_people","02","energy_storage","composite"
"20","Damen","object","race_bank","mast","Fund","Atlantis","outlook","charter","subsidy","floating_wind_turbine","underground","acre","island","cold","apprentice","September","health","10mw"
