freq,class,sub_class,name,alias
135,COM,Developer,CIP,CIP|Copenhagen|Infrastructure Partners
95,BANK,NA,EIB,EIB|European Investment Bank
85,BANK,NA,SCORE,SCORE
76,BANK,NA,UK Green Investment Bank,UK Green Investment Bank
68,BANK,NA,Vanguard,Vanguard
68,BANK,NA,Finance,Finance
2474,COM,Others,Siemens,Siemens|Siemens Industry|Siemens Financial Services|Siemens AG
1253,COM,Developer,Orsted,Orsted|DONG|Dong|Dong Energy|DONG Energy Wind Power
870,COM,Others,TenneT,TenneT
677,COM,Turbine,MHI,MHI|MHI Vestas Offshore|MHI Vestas Offshore Wind|MHI Vestas
614,COM,Turbine,GE,GE|GE Renewable Energy
555,COM,Turbine,SGRE,SGRE|Siemens Gamesa|Siemens Wind Power|Siemens Gamesa Renewable Energy|Siemens Wind Power Service
527,COM,Others,ABB,ABB|ABB Group|ABB Power Systems
396,COM,Power company,RWE,RWE|RWE Innogy|RWE International SE|RWE Innogy UK
320,BANK,NA,Carbon Trust,Carbon Trust
293,COM,Developer,SSE,SSE
270,COM,Power company,National Grid,National Grid
231,COM,Power company,EDF,EDF
211,COM,Maritime engineering,DEME,DEME
210,COM,Training Provider,Maersk,Maersk
207,COM,Cable ,JDR,JDR|JDR Cable Systems
176,COM,Training Provider,Carnegie,Carnegie
173,TERM,NA,UXO,UXO|Unexploded ordnance
160,COM,Maritime engineering,VBMS,VBMS|Boskalis
144,ORG,NA,ETI,ETI|Energy Technologies Institute
142,TERM,NA,EPC,"EPC|engineering, procurement, and construction"
139,ORG,NA,ECN,ECN|Energy research Centre
136,COM,Others,OPT,OPT|Ocean Power Technologies
136,ORG,NA,FORCE,FORCE|Fundy Ocean Research Center for Energy | Fundy Force
127,GOV,NA,HSE,HSE
122,COM,Maritime Services,EMO,EMO|EMS Maritime Offshore|EMS Maritime Offshore GmbH
104,COM,Maritime engineering,Seacat Services,Seacat Services
98,COM,Blade,LM Wind Power,LM Wind Power
97,COM,Maritime engineering,Global Marine,Global Marine
95,COM,Training Provider,AIS,AIS
