"freq","class","sub_class","name","tooltip","alias","ignore"
5557,"COUNTRY",NA,"UK","UK (COUNTRY)","\b(UK|GB)\b|Britain|British|United Kingdom|Great Britain|England",FALSE
3357,"COUNTRY",NA,"Germany","Germany (COUNTRY)","Germany|German|Deutsch",FALSE
2715,"COUNTRY",NA,"USA","USA (COUNTRY)","United States|U\.S\.|US\.|US|America|American|\bUSA\b",FALSE
2026,"COUNTRY",NA,"Scotland","Scotland (COUNTRY)","Scotland|Scottish( (G|g)vernment)?",FALSE
1683,"COUNTRY",NA,"Denmark","Denmark (COUNTRY)","Denmark|Danish",FALSE
1639,"COUNTRY",NA,"Netherlands","Netherlands (COUNTRY)","Netherlands|Dutch|Holland",FALSE
1160,"COUNTRY",NA,"China","China (COUNTRY)","China|Chinese",FALSE
831,"COUNTRY",NA,"France","France (COUNTRY)","France|French",FALSE
751,"COUNTRY",NA,"Norway","Norway (COUNTRY)","Norway|Norwegian",FALSE
633,"COUNTRY",NA,"Ireland","Ireland (COUNTRY)","Ireland|Irish",FALSE
603,"COUNTRY",NA,"Taiwan","Taiwan (COUNTRY)","Taiwan(ese)?",FALSE
522,"COUNTRY",NA,"Japan","Japan (COUNTRY)","Japan|Japanese",FALSE
417,"COUNTRY",NA,"Wales","Wales (COUNTRY)","Wales|Welsh",FALSE
367,"COUNTRY",NA,"Belgium","Belgium (COUNTRY)","Belgium",FALSE
313,"COUNTRY",NA,"Canada","Canada (COUNTRY)","Canada|Canadian",FALSE
305,"COUNTRY",NA,"Spain","Spain (COUNTRY)","Spain|Spanish",FALSE
297,"COUNTRY",NA,"Sweden","Sweden (COUNTRY)","Sweden|Swedish",FALSE
289,"COUNTRY",NA,"India","India (COUNTRY)","India",FALSE
211,"COUNTRY",NA,"Australia","Australia (COUNTRY)","Australia|Australian",FALSE
497,"FARM",NA,"Hornsea Project One","Hornsea Windfarm (FARM)","Hornsea( Project One)?",FALSE
413,"FARM",NA,"Walney Extension","Walney Extension Windfarm (FARM)","Walney( Extension)?",FALSE
392,"FARM",NA,"Norther","Norther Windfarm (FARM)","Norther",FALSE
376,"FARM",NA,"Beatrice","Beatrice Windfarm (BOWL) (FARM)","Beatrice( Offshore)? Wind ?(F|f)arm( L(td|imited))?|Beatrice|\bBOWL\b",FALSE
331,"FARM",NA,"Borssele","Borssele Windfarm (FARM)","Borssele",FALSE
309,"FARM",NA,"Dudgeon","Dudgeon Windfarm (FARM)","Dudgeon",FALSE
298,"FARM",NA,"Kriegers Flak","Kriegers Flak Windfarm (FARM)","Kriegers Flak|\bKFE\b|\bKFB\b",FALSE
276,"FARM",NA,"Borkum Riffgrund","Borkum Riffgrund Windfarm (FARM)","Borkum Riffgrund",FALSE
257,"FARM",NA,"London Array","London Array Windfarm (FARM)","London Array",FALSE
256,"FARM",NA,"Block Island","Block Island Windfarm (FARM)","Block Island",FALSE
247,"FARM",NA,"Race Bank","Race Bank Windfarm (FARM)","Race Bank",FALSE
222,"FARM",NA,"Gwynt y Mor","Gwynt y Mor Windfarm (FARM)","Gwynt y M.r",FALSE
216,"FARM",NA,"Horns Rev","Horns Rev Windfarm (FARM)","Horns Rev",FALSE
208,"FARM",NA,"Merkur","Merkur Windfarm (FARM)","Merkur",FALSE
196,"FARM",NA,"Triton Knoll","Triton Knoll Windfarm (FARM)","Triton Knoll",FALSE
188,"FARM",NA,"Rampion","Rampion Windfarm (FARM)","Rampion",FALSE
186,"FARM",NA,"Gemini","Gemini Windfarm (FARM)","Gemini",FALSE
177,"FARM",NA,"Burbo Bank Extension","Burbo Bank Extension Windfarm (FARM)","Burbo Bank Extension",FALSE
176,"FARM",NA,"East Anglia ONE","East Anglia ONE Windfarm (FARM)","East Anglia ONE",FALSE
